index,万 科Ａ(000002),美的集团(000333),苏宁易购(002024),中源协和(600645),广誉远(600771),cash
2016-01-05 00:00:00+00:00,0.0,2108321.02,1983631.9200000002,1935043.02,0.0,3973004.0400000005
2016-01-06 00:00:00+00:00,0.0,2125817.46,2078558.2000000002,2027676.24,0.0,3973004.0400000005
2016-01-07 00:00:00+00:00,0.0,1954217.76,1891978.9600000002,1824976.98,0.0,3973004.0400000005
2016-01-08 00:00:00+00:00,0.0,2006034.1400000001,1949262.06,1944272.1600000001,0.0,3973004.0400000005
2016-01-11 00:00:00+00:00,0.0,1911149.6,1898525.5999999999,1749776.5799999998,0.0,3973004.0400000005
2016-01-12 00:00:00+00:00,0.0,1938740.1400000001,1900162.26,1667397.96,0.0,3973004.0400000005
2016-01-13 00:00:00+00:00,0.0,1950853.06,1854335.78,1504691.6400000001,0.0,3973004.0400000005
2016-01-14 00:00:00+00:00,0.0,1991902.4000000001,1890342.3,1555964.6400000001,0.0,3973004.0400000005
2016-01-15 00:00:00+00:00,0.0,1910476.6600000001,1805235.98,1403512.9200000002,0.0,3973004.0400000005
2016-01-18 00:00:00+00:00,0.0,1870773.2,1841242.5,1376850.96,0.0,3973004.0400000005
2016-01-19 00:00:00+00:00,0.0,1939413.08,1967265.3199999998,1434618.54,0.0,3973004.0400000005
2016-01-20 00:00:00+00:00,0.0,1886250.82,1995088.5399999998,1446240.4200000002,0.0,3973004.0400000005
2016-01-21 00:00:00+00:00,0.0,1818956.82,1896888.94,1315323.36,0.0,3973004.0400000005
2016-01-22 00:00:00+00:00,0.0,1822321.52,1929622.1400000001,1400778.36,0.0,3973004.0400000005
2016-01-25 00:00:00+00:00,0.0,1830396.8,1914892.2000000002,1394283.78,0.0,3973004.0400000005
2016-01-26 00:00:00+00:00,0.0,1739549.9000000001,1734859.5999999999,1265759.46,0.0,3973004.0400000005
2016-01-27 00:00:00+00:00,0.0,1765121.62,1733222.94,1242857.52,0.0,3973004.0400000005
2016-01-28 00:00:00+00:00,0.0,1783963.9400000002,1685759.8,1147831.56,0.0,3973004.0400000005
2016-01-29 00:00:00+00:00,0.0,1837799.1400000001,1741406.24,1209700.98,0.0,3973004.0400000005
2016-02-01 00:00:00+00:00,0.0,1840490.9000000001,1721766.3199999998,1227133.8,0.0,3973004.0400000005
2016-02-02 00:00:00+00:00,0.0,1857987.3399999999,1759409.5,1297206.9000000001,0.0,3973004.0400000005
2016-02-03 00:00:00+00:00,0.0,1828377.9800000002,1765956.1400000001,1298232.36,0.0,3973004.0400000005
2016-02-04 00:00:00+00:00,0.0,1836453.26,1800326.0,1368989.1,0.0,3973004.0400000005
2016-02-05 00:00:00+00:00,0.0,1845201.4800000002,1800326.0,1368989.1,0.0,3973004.0400000005
2016-02-15 00:00:00+00:00,0.0,1814246.24,1793779.36,1368989.1,0.0,3973004.0400000005
2016-02-16 00:00:00+00:00,0.0,1866735.56,1867429.06,1368989.1,0.0,3973004.0400000005
2016-02-17 00:00:00+00:00,0.0,1880867.3,1896888.94,1368989.1,0.0,3973004.0400000005
2016-02-18 00:00:00+00:00,0.0,1874810.8399999999,1860882.4200000002,1368989.1,0.0,3973004.0400000005
2016-02-19 00:00:00+00:00,0.0,1857314.4000000001,1865792.4000000001,1368989.1,0.0,3973004.0400000005
2016-02-22 00:00:00+00:00,0.0,1886923.76,1895252.28,1368989.1,0.0,3973004.0400000005
2016-02-23 00:00:00+00:00,0.0,1875483.78,1849425.8,1368989.1,0.0,3973004.0400000005
2016-02-24 00:00:00+00:00,0.0,1873464.96,1947625.4000000001,1368989.1,0.0,3973004.0400000005
2016-02-25 00:00:00+00:00,0.0,1781272.18,1792142.7000000002,1368989.1,0.0,3973004.0400000005
2016-02-26 00:00:00+00:00,0.0,1806170.96,1805235.98,1368989.1,0.0,3973004.0400000005
2016-02-29 00:00:00+00:00,0.0,1754354.58,1682486.48,1368989.1,0.0,3973004.0400000005
2016-03-01 00:00:00+00:00,0.0,1814246.24,1713583.02,1368989.1,0.0,3973004.0400000005
2016-03-02 00:00:00+00:00,0.0,1963638.92,1783959.4000000001,1368989.1,0.0,3973004.0400000005
2016-03-03 00:00:00+00:00,0.0,1924608.4000000001,1772502.78,1368989.1,0.0,3973004.0400000005
2016-03-04 00:00:00+00:00,0.0,1959601.28,1746316.22,1232261.1,0.0,3973004.0400000005
2016-03-07 00:00:00+00:00,0.0,1967003.62,1769229.4600000002,1212093.72,0.0,3973004.0400000005
2016-03-08 00:00:00+00:00,0.0,1941431.9000000001,1774139.44,1214486.46,0.0,3973004.0400000005
2016-03-09 00:00:00+00:00,0.0,1936721.32,1720129.66,1201155.48,69065294.26,-65092290.220000006
2016-03-10 00:00:00+00:00,0.0,1953544.82,1687396.4600000002,1157402.52,62153965.300000004,-65092290.220000006
2016-03-11 00:00:00+00:00,0.0,1951526.0,1718493.0,1147831.56,60594116.75,-65092290.220000006
2016-03-14 00:00:00+00:00,0.0,1988537.7,1767592.8,1233628.3800000001,62321948.989999995,-65092290.220000006
2016-03-15 00:00:00+00:00,0.0,1994594.1600000001,1749589.5399999998,1230210.1800000002,59994175.0,-65092290.220000006
2016-03-16 00:00:00+00:00,0.0,1969022.4400000002,1723402.98,1203548.22,58434326.45,-65092290.220000006
2016-03-17 00:00:00+00:00,0.0,2008725.9000000001,1775776.0999999999,1305410.5799999998,60282147.04,-65092290.220000006
2016-03-18 00:00:00+00:00,0.0,2021511.76,1898525.5999999999,1349163.54,61434035.2,-65092290.220000006
2016-03-21 00:00:00+00:00,0.0,2044391.72,1914892.2000000002,1387447.3800000001,62369944.330000006,-65092290.220000006
2016-03-22 00:00:00+00:00,0.0,2055158.76,1924712.16,1363178.1600000001,61674011.9,-65092290.220000006
2016-03-23 00:00:00+00:00,0.0,2037662.32,1949262.06,1378560.06,62105969.96,-65092290.220000006
2016-03-24 00:00:00+00:00,0.0,2077365.78,1887068.98,1322501.5799999998,60498126.07,-65092290.220000006
2016-03-25 00:00:00+00:00,0.0,2113031.6,1906708.9000000001,1346770.8,63929792.88,-65092290.220000006
2016-03-28 00:00:00+00:00,0.0,2059196.4000000001,1862519.08,1313614.26,68441354.84,-65092290.220000006
2016-03-29 00:00:00+00:00,0.0,2018147.06,1823239.24,1264734.0,65801611.14,-65092290.220000006
2016-03-30 00:00:00+00:00,0.0,2054485.82,1888705.6400000001,1336174.3800000001,68897310.57000001,-65092290.220000006
2016-03-31 00:00:00+00:00,0.0,2076019.9000000001,1873975.7000000002,1344719.8800000001,68585340.86,-65092290.220000006
2016-04-01 00:00:00+00:00,0.0,2058523.46,1842879.16,1317716.1,68585340.86,-65092290.220000006
2016-04-05 00:00:00+00:00,0.0,2071982.26,1905072.24,1372065.48,68153382.80000001,-65092290.220000006
2016-04-06 00:00:00+00:00,0.0,2069290.5,1921438.84,1372065.48,69497252.32000001,-65092290.220000006
2016-04-07 00:00:00+00:00,0.0,2025549.4000000001,1870702.38,1332414.36,66665527.260000005,-65092290.220000006
2016-04-08 00:00:00+00:00,0.0,2020165.88,1947625.4000000001,1348479.9000000001,66257566.87,-65092290.220000006
2016-04-11 00:00:00+00:00,0.0,2045737.6,1960718.6800000002,1466065.98,67097485.32,-65092290.220000006
2016-04-12 00:00:00+00:00,0.0,2049775.24,1927985.48,1449316.8,65345655.410000004,-65092290.220000006
2016-04-13 00:00:00+00:00,0.0,2064579.92,1944352.08,1482131.52,65393650.75,-65092290.220000006
2016-04-14 00:00:00+00:00,0.0,2080730.4800000002,1945988.74,1478029.6800000002,65873604.15,-65092290.220000006
2016-04-15 00:00:00+00:00,0.0,2083422.24,1975448.62,1485207.9000000001,65945597.160000004,-65092290.220000006
2016-04-18 00:00:00+00:00,0.0,2060542.28,1931258.8,1423338.48,64121774.239999995,-65092290.220000006
2016-04-19 00:00:00+00:00,0.0,2071309.32,1929622.1400000001,1436669.46,63305853.46,-65092290.220000006
2016-04-20 00:00:00+00:00,0.0,2010744.72,1823239.24,1330021.62,61290049.18,-65092290.220000006
2016-04-21 00:00:00+00:00,0.0,2001323.56,1795416.02,1294472.3399999999,60042170.339999996,-65092290.220000006
2016-04-22 00:00:00+00:00,0.0,2072655.2,1808509.3,1324552.5,59994175.0,-65092290.220000006
2016-04-25 00:00:00+00:00,0.0,2099572.8,1836332.52,1302334.2,59082263.54,-65092290.220000006
2016-04-26 00:00:00+00:00,0.0,2111685.7199999997,1836332.52,1324552.5,58890282.18,-65092290.220000006
2016-04-27 00:00:00+00:00,0.0,2084768.12,1805235.98,1300625.1,62753907.050000004,-65092290.220000006
2016-04-28 00:00:00+00:00,0.0,2071309.32,1818329.26,1310879.7,60858091.12,-65092290.220000006
2016-04-29 00:00:00+00:00,0.0,2160137.4,1816692.5999999999,1295497.8,62513930.35,-65082470.260000005
2016-05-03 00:00:00+00:00,0.0,2277228.9600000004,1851062.4600000002,1295497.8,63737811.52,-65082470.260000005
2016-05-04 00:00:00+00:00,0.0,2218010.24,1833059.2000000002,1295497.8,63017881.42,-65082470.260000005
2016-05-05 00:00:00+00:00,0.0,2220029.06,1831422.5399999998,1295497.8,62993883.75,-65082470.260000005
2016-05-06 00:00:00+00:00,0.0,2054149.35,1756136.1800000002,1295497.8,60090165.68,-65001717.46000001
2016-05-09 00:00:00+00:00,0.0,2054149.35,1700489.74,1295497.8,57138452.269999996,-65001717.46000001
2016-05-10 00:00:00+00:00,0.0,2127836.2800000003,1708673.0399999998,1295497.8,58050363.730000004,-65001717.46000001
2016-05-11 00:00:00+00:00,0.0,2216664.36,1697216.4200000002,1295497.8,59418230.92,-65001717.46000001
2016-05-12 00:00:00+00:00,0.0,2210607.9000000004,1677576.5,1295497.8,58866284.510000005,-65001717.46000001
2016-05-13 00:00:00+00:00,0.0,2171240.91,1682486.48,1295497.8,57570410.330000006,-65001717.46000001
2016-05-16 00:00:00+00:00,0.0,2200513.8000000003,1716856.34,1295497.8,59202251.89,-65001717.46000001
2016-05-17 00:00:00+00:00,0.0,2155090.35,1718493.0,1295497.8,58842286.839999996,-65001717.46000001
2016-05-18 00:00:00+00:00,0.0,2155090.35,1713583.02,1295497.8,57594408.0,-65001717.46000001
2016-05-19 00:00:00+00:00,0.0,2155090.35,1715219.6800000002,1295497.8,57618405.67,-65001717.46000001
2016-05-20 00:00:00+00:00,0.0,2155090.35,1718493.0,1295497.8,58146354.410000004,-65001717.46000001
2016-05-23 00:00:00+00:00,0.0,2155090.35,1723402.98,1295497.8,59034268.2,-65001717.46000001
2016-05-24 00:00:00+00:00,0.0,2155090.35,1703763.06,1295497.8,58290340.43,-65001717.46000001
2016-05-25 00:00:00+00:00,0.0,2155090.35,1726676.3,1295497.8,57714396.35,-65001717.46000001
2016-05-26 00:00:00+00:00,0.0,2155090.35,1725039.6400000001,1295497.8,57762391.69,-65001717.46000001
2016-05-27 00:00:00+00:00,0.0,2155090.35,1716856.34,1295497.8,57594408.0,-65001717.46000001
2016-05-30 00:00:00+00:00,0.0,2155090.35,1707036.38,1295497.8,57954373.050000004,-65001717.46000001
2016-05-31 00:00:00+00:00,0.0,2155090.35,1803599.3199999998,1295497.8,59994175.0,-65001717.46000001
2016-06-01 00:00:00+00:00,0.0,2307511.26,1824875.9000000001,1295497.8,59778195.97,-65001717.46000001
2016-06-02 00:00:00+00:00,0.0,2277228.96,1810145.9600000002,1295497.8,60018172.67,-65001717.46000001
2016-06-03 00:00:00+00:00,0.0,2329718.2800000003,1923075.5,1295497.8,61434035.2,-65001717.46000001
2016-06-06 00:00:00+00:00,0.0,2395329.93,1957445.36,1295497.8,60450130.730000004,-65001717.46000001
2016-06-07 00:00:00+00:00,0.0,2334765.33,1898525.5999999999,1165948.02,60474128.4,-65001717.46000001
2016-06-08 00:00:00+00:00,0.0,2289341.88,1859245.76,1166631.6600000001,59946179.660000004,-65001717.46000001
2016-06-13 00:00:00+00:00,0.0,2250984.3000000003,1779049.4200000002,1156035.24,57642403.339999996,-65001717.46000001
2016-06-14 00:00:00+00:00,0.0,2279247.7800000003,1787232.72,1128006.0,57666401.010000005,-65001717.46000001
2016-06-15 00:00:00+00:00,0.0,2299435.98,1819965.9200000002,1162529.8199999998,58746296.160000004,-65001717.46000001
2016-06-16 00:00:00+00:00,0.0,2257040.76,1787232.72,1152617.04,58002368.39,-65001717.46000001
2016-06-17 00:00:00+00:00,0.0,2264106.63,1790506.0399999998,1173809.8800000001,61410037.53,-65001717.46000001
2016-06-20 00:00:00+00:00,0.0,2317605.36,1788869.38,1155693.4200000002,60714105.1,-65001717.46000001
2016-06-21 00:00:00+00:00,0.0,2293379.52,1775776.0999999999,1134842.4000000001,60786098.11000001,-65001717.46000001
2016-06-22 00:00:00+00:00,0.0,2317605.36,1783959.4000000001,1150224.3,60954081.800000004,-65001717.46000001
2016-06-23 00:00:00+00:00,0.0,2291360.6999999997,1757772.84,1163213.46,64793709.0,-65001717.46000001
2016-06-24 00:00:00+00:00,0.0,2304483.0300000003,1731586.28,1134500.5799999998,65825608.81,-65001717.46000001
2016-06-27 00:00:00+00:00,0.0,2386245.24,1754499.52,1165948.02,67625434.06,-65001717.46000001
2016-06-28 00:00:00+00:00,0.0,2356972.35,1761046.16,1212777.36,69209280.28,-65001717.46000001
2016-06-29 00:00:00+00:00,0.0,2358991.17,1767592.8,1210726.44,68777322.22,-65001717.46000001
2016-06-30 00:00:00+00:00,0.0,2394320.52,1777412.76,1201155.48,69929210.38,-65001717.46000001
2016-07-01 00:00:00+00:00,0.0,2430659.2800000003,1757772.84,1206624.6,67553441.05000001,-65001717.46000001
2016-07-04 00:00:00+00:00,102629155.17000002,2468007.4499999997,1782322.74,1230210.1800000002,69065294.26,-167630872.63000005
2016-07-05 00:00:00+00:00,92361572.57,2432678.1,1805235.98,1224057.4200000002,68513347.85000001,-167630872.63000005
2016-07-06 00:00:00+00:00,92408243.4,2460941.58,1792142.7000000002,1219955.5799999998,70385166.11,-167630872.63000005
2016-07-07 00:00:00+00:00,87834502.06,2466998.04,1780686.08,1242515.7,71801028.64,-167630872.63000005
2016-07-08 00:00:00+00:00,87507806.25,2437725.1500000004,1777412.76,1226791.98,73000912.14,-167630872.63000005
2016-07-11 00:00:00+00:00,85267606.41,2519487.36,1775776.0999999999,1211751.9000000001,73096902.82000001,-167630872.63000005
2016-07-12 00:00:00+00:00,84567543.96000001,2771839.86,1795416.02,1220981.04,75136704.77000001,-167630872.63000005
2016-07-13 00:00:00+00:00,85500960.56,2760736.35,1813419.28,1241148.4200000002,74344781.66,-167630872.63000005
2016-07-14 00:00:00+00:00,83820810.68,2729444.64,1805235.98,1239097.5,72544956.41,-167630872.63000005
2016-07-15 00:00:00+00:00,83494114.87,2891959.6500000004,1790506.0399999998,1237730.22,73480865.54,-167630872.63000005
2016-07-18 00:00:00+00:00,81347256.69,2872780.86,1806872.6400000001,1223373.78,71321075.24,-167630872.63000005
2016-07-19 00:00:00+00:00,79853790.13,2770830.4499999997,1811782.62,1231235.6400000001,71513056.60000001,-167630872.63000005
2016-07-20 00:00:00+00:00,79713777.64000002,2755689.3000000003,1806872.6400000001,1240122.96,73168895.83,-167630872.63000005
2016-07-21 00:00:00+00:00,79433752.66,2833413.87,1805235.98,1228159.26,73912823.60000001,-167630872.63000005
2016-07-22 00:00:00+00:00,81160573.37,2753670.48,1782322.74,1206282.78,73648849.23,-167630872.63000005
2016-07-25 00:00:00+00:00,82607369.1,2691087.06,1782322.74,1217562.8399999999,73192893.5,-167630872.63000005
2016-07-26 00:00:00+00:00,82980735.74000001,2779915.14,1808509.3,1251403.02,73720842.24,-167630872.63000005
2016-07-27 00:00:00+00:00,81300585.86000001,2721369.36,1734859.5999999999,1200813.6600000001,71033103.2,-167630872.63000005
2016-07-28 00:00:00+00:00,83634127.36000001,2804140.98,1739769.58,1165264.3800000001,72017007.67,-167630872.63000005
2016-07-29 00:00:00+00:00,79993802.62,2846536.1999999997,1728312.9600000002,1149882.48,71417065.92,-164270572.87000006
2016-08-01 00:00:00+00:00,80133815.11000001,2802122.16,1710309.7000000002,1123904.1600000001,70193184.75,-164270572.87000006
2016-08-02 00:00:00+00:00,82187331.63,2785971.6,1721766.3199999998,1129715.0999999999,70241180.09,-164270572.87000006
2016-08-03 00:00:00+00:00,83447444.03999999,2827357.41,1721766.3199999998,1130398.74,69713231.35000001,-164270572.87000006
2016-08-04 00:00:00+00:00,91801522.61000001,2795056.29,1728312.9600000002,1134500.5799999998,69641238.34,-164270572.87000006
2016-08-05 00:00:00+00:00,97775388.85,2823319.77,1783959.4000000001,1121511.4200000002,70409163.78,-164270572.87000006
2016-08-08 00:00:00+00:00,102069105.21000001,2795056.29,1854335.78,1136209.6800000002,70409163.78,-164270572.87000006
2016-08-09 00:00:00+00:00,102535813.50999999,2809188.0300000003,1851062.4600000002,1162188.0,70745131.16,-164270572.87000006
2016-08-10 00:00:00+00:00,98942159.6,2748623.43,1829785.88,1149540.6600000001,70769128.83,-164270572.87000006
2016-08-11 00:00:00+00:00,96655288.93,2749632.8400000003,1795416.02,1128347.8199999998,69809222.03,-164270572.87000006
2016-08-12 00:00:00+00:00,106316150.74000001,2729444.64,1849425.8,1134158.76,69713231.35000001,-164270572.87000006
2016-08-15 00:00:00+00:00,116957099.98,2818272.72,1869065.72,1165264.3800000001,70937112.52000001,-164270572.87000006
2016-08-16 00:00:00+00:00,128671478.31,2861677.35,1847789.1400000001,1179962.6400000001,73408872.53,-164270572.87000006
2016-08-17 00:00:00+00:00,120644095.55000001,2869752.63,1887068.98,1245592.0799999998,75064711.76,-164270572.87000006
2016-08-18 00:00:00+00:00,119383983.14000002,2833413.87,1854335.78,1225424.7,73768837.58,-164270572.87000006
2016-08-19 00:00:00+00:00,114763570.97,2812216.26,1841242.5,1220297.4000000001,73120900.49,-164270572.87000006
2016-08-22 00:00:00+00:00,115276950.1,2767802.22,1839605.84,1221664.6800000002,73024909.81,-164270572.87000006
2016-08-23 00:00:00+00:00,115276950.1,2788999.83,1824875.9000000001,1228842.9000000001,73504863.21,-164270572.87000006
2016-08-24 00:00:00+00:00,111963321.17000002,2755689.3000000003,1819965.9200000002,1220981.04,73312881.85000001,-164270572.87000006
2016-08-25 00:00:00+00:00,109863133.82,2775877.5,1801962.66,1198420.9200000002,74584758.36,-164270572.87000006
2016-08-26 00:00:00+00:00,106829529.87,2747614.02,1803599.3199999998,1225424.7,75808639.53,-164270572.87000006
2016-08-29 00:00:00+00:00,106922871.53,2730454.0500000003,1811782.62,1204231.86,79864245.76,-164270572.87000006
2016-08-30 00:00:00+00:00,105756100.78,2712284.67,1811782.62,1216537.3800000001,78784350.61,-164270572.87000006
2016-08-31 00:00:00+00:00,116350379.19,2765783.4000000004,1816692.5999999999,1200130.02,78808348.28,-164270572.87000006
2016-09-01 00:00:00+00:00,109396425.52000001,2772849.27,1806872.6400000001,1170049.86,77200504.39,-164270572.87000006
2016-09-02 00:00:00+00:00,110936562.91,2737519.92,1819965.9200000002,1151591.5799999998,77200504.39,-164270572.87000006
2016-09-05 00:00:00+00:00,109396425.52000001,2768811.63,1818329.26,1154326.1400000001,78880341.28999999,-164270572.87000006
2016-09-06 00:00:00+00:00,108836375.56,2756698.7100000004,1821602.58,1188508.1400000001,80776157.22000001,-164270572.87000006
2016-09-07 00:00:00+00:00,108603021.41,2748623.43,1846152.48,1189533.6,82216017.42,-164270572.87000006
2016-09-08 00:00:00+00:00,110236500.46000001,2746604.61,1841242.5,1178937.1800000002,81328103.63,-164270572.87000006
2016-09-09 00:00:00+00:00,108136313.11000001,2727425.82,1818329.26,1173468.06,81328103.63,-164270572.87000006
2016-09-12 00:00:00+00:00,109676450.5,2653738.89,1751226.2000000002,1125613.26,79600271.39,-164270572.87000006
2016-09-13 00:00:00+00:00,110049817.14000002,2658785.94,1761046.16,1120485.96,79768255.08,-164270572.87000006
2016-09-14 00:00:00+00:00,110049817.14000002,2563901.4000000004,1759409.5,1126296.9000000001,79768255.08,-164270572.87000006
2016-09-19 00:00:00+00:00,110283171.28999999,2624466.0,1772502.78,1134158.76,79768255.08,-164270572.87000006
2016-09-20 00:00:00+00:00,110236500.46000001,2615381.31,1770866.12,1151933.4000000001,79768255.08,-164270572.87000006
2016-09-21 00:00:00+00:00,114903583.46000001,2621437.77,1774139.44,1140995.1600000001,79768255.08,-164270572.87000006
2016-09-22 00:00:00+00:00,126011241.0,2639607.1500000004,1787232.72,1133475.12,79768255.08,-164270572.87000006
2016-09-23 00:00:00+00:00,118917274.84,2650710.66,1787232.72,1128347.8199999998,82407998.78,-164270572.87000006
2016-09-26 00:00:00+00:00,115183608.44,2626484.82,1746316.22,1102369.5,80800154.89,-164270572.87000006
2016-09-27 00:00:00+00:00,117330466.62,2640616.56,1772502.78,1112965.9200000002,80008231.78,-164270572.87000006
2016-09-28 00:00:00+00:00,120410741.4,2643644.79,1774139.44,1107804.4379999998,79000329.64,-164270572.87000006
2016-09-29 00:00:00+00:00,121297487.17000002,2674936.5,1777412.76,1111222.638,81184117.61,-164270572.87000006
2016-09-30 00:00:00+00:00,122137562.11000001,2726416.41,1774139.44,1116042.3,82264012.76,-164270572.87000006
2016-10-10 00:00:00+00:00,121204145.50999999,2720359.9499999997,1815055.94,1133816.94,84471798.4,-164270572.87000006
2016-10-11 00:00:00+00:00,122417587.09,2725407.0,1819965.9200000002,1138260.5999999999,85839665.59,-164270572.87000006
2016-10-12 00:00:00+00:00,124144407.80000001,2706228.2100000004,1811782.62,1136551.5,83727870.63,-164270572.87000006
2016-10-13 00:00:00+00:00,125124495.23,2654748.3000000003,1815055.94,1131424.2,84951751.8,-164270572.87000006
2016-10-14 00:00:00+00:00,125264507.72,2661814.17,1811782.62,1117751.4000000001,85575691.22000001,-164270572.87000006
2016-10-17 00:00:00+00:00,121344158.0,2651720.07,1798689.34,1133475.12,85959653.94,-164270572.87000006
2016-10-18 00:00:00+00:00,121344158.0,2659795.35,1831422.5399999998,1140653.3399999999,86103639.96000001,-164270572.87000006
2016-10-19 00:00:00+00:00,120550753.89000002,2638597.74,1837969.1800000002,1133475.12,86079642.28999999,-164270572.87000006
2016-10-20 00:00:00+00:00,121064133.02000001,2649701.25,1849425.8,1132449.6600000001,86079642.28999999,-164270572.87000006
2016-10-21 00:00:00+00:00,117843845.75,2662823.58,1829785.88,1138260.5999999999,86103639.96000001,-164270572.87000006
2016-10-24 00:00:00+00:00,117797174.92000002,2691087.06,1864155.74,1140995.1600000001,85767672.58,-164270572.87000006
2016-10-25 00:00:00+00:00,116723745.83000001,2705218.8000000003,1867429.06,1135867.86,79456285.37,-164270572.87000006
2016-10-26 00:00:00+00:00,117470479.11000001,2692096.47,1877249.02,1132791.48,79888243.42999999,-164270572.87000006
2016-10-27 00:00:00+00:00,115603645.91,2693105.88,1867429.06,1122878.7,79480283.03999999,-164270572.87000006
2016-10-28 00:00:00+00:00,115510304.25,2701181.16,1841242.5,1103736.78,79672264.4,-164270572.87000006
2016-10-31 00:00:00+00:00,116303708.36000001,2740548.1500000004,1833059.2000000002,1037081.88,81184117.61,-164270572.87000006
2016-11-01 00:00:00+00:00,120364070.57,2803131.57,1847789.1400000001,1042209.18,81232112.95,-164270572.87000006
